   850 MB TRADE WIND INDEX(135E-180W)5N 5S  WEST PACIFIC                        
                    ORIGINAL        DATA                                        
                                                                                
YEAR   JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC    
1992  -4.7  -1.6  -1.3  -2.5  -0.8  -0.9  -0.9  -0.6  -0.7  -0.3  -2.3  -1.9
1993  -1.5  -5.2  -3.4  -4.0  -0.8  -1.7  -0.8  -1.5   0.2  -0.8   1.2  -0.8
1994  -0.2   0.5   0.7  -0.1  -1.2  -0.5  -2.0  -2.6  -2.1  -1.9  -3.2  -4.6
1995  -1.5  -0.2   0.8  -2.4  -1.1   1.7   1.7   2.6   1.3   1.9   2.8   1.0
1996   1.2   1.3   1.7   2.5   0.3   1.9   1.1   2.4   0.7   2.2   1.2  -1.7
1997  -1.6   1.0  -7.5  -4.7  -4.2  -3.8  -1.8  -5.9  -5.0  -6.0  -0.1  -1.0
1998  -0.3  -0.3  -0.9   1.9   2.0   2.6   3.4   1.8   3.4   2.8   3.0   2.4
1999   5.5   1.7   5.8   4.3   2.8   1.1   1.3   2.3   2.0   4.2   2.2   4.0
2000   1.7   5.1   3.9   4.5   2.6   2.5   0.9   0.7   1.3   1.3   2.0   1.7
2001   4.6   3.6   2.9   2.5   0.3  -0.7   0.1  -0.2   0.8  -0.7   0.3  -3.3
2002   0.3  -2.3  -0.4  -0.5  -1.6   0.2  -2.4  -2.7  -4.4  -4.9  -0.5  -1.0
2003  -1.0   0.1   1.1  -0.6  -0.2  -0.4   0.4   0.2   0.2   0.2  -0.4   1.8
2004  -0.4   0.4  -0.6  -1.7   1.2  -2.6  -0.6  -1.8  -0.3  -2.4  -1.0  -0.1
2005  -0.9  -4.0   0.1  -1.0   0.6   1.6   0.6  -0.2  -0.2   1.6   1.4   3.7
2006   2.3   1.3   1.0   1.8  -0.7   0.2  -2.1  -2.1  -1.3  -2.8  -0.9   1.8
2007  -0.3   0.7   0.6   1.8   0.3   2.7   1.4   1.4   1.5   1.8   1.3   5.9
2008   1.0   4.3   4.5   3.3   1.8   2.5   3.1   3.3   2.0   3.7   5.5   3.4
2009   2.9   4.9   0.6   1.7   0.5  -0.5  -0.7  -0.5  -1.7  -2.2   1.0  -0.8
2010  -0.9  -1.5   0.2   1.3   3.4   2.8   4.1   4.4   5.0   3.9   4.8   5.1
2011   2.6   2.1   3.8   3.5   1.5   2.1   1.8   1.9   3.5   2.1   2.5   5.5
2012   2.3   4.0   2.9   1.1   1.1   0.9   1.9   1.4  -0.7   1.4   1.9   2.6
2013  -0.3   2.5   0.9   3.5   3.1   1.2   1.5   1.3   0.8  -0.3   3.2   3.7
2014  -0.6  -2.3  -1.4  -0.5   0.7   0.5   0.3   0.3   0.2   0.1   2.0   2.2
2015  -0.5  -1.1  -4.4  -1.4  -2.9  -1.4  -3.6  -2.7  -3.1  -2.6   0.0  -0.2
2016  -0.9   0.2   0.3   0.4   1.7   0.0   0.6   0.3   1.8   1.7   2.0   1.6
2017   1.6   1.5   3.6   0.6   2.4   0.9   2.2   1.8   2.9   1.4   1.9   1.1
2018   3.3  -2.9  -1.9  -0.7   0.7   0.4   0.9  -1.0  -2.6  -0.6  -0.6   0.4
2019  -2.4  -3.9  -0.6   1.7  -3.1   1.1  -1.1  -0.7  -1.8   0.6  -1.2  -1.2
2020  -2.8  -2.5   0.9   1.0   2.0   1.1   2.5   1.3   2.6   2.4   4.1   4.3
2021   4.9   1.0   3.0  -0.4   2.1   1.5   2.3   1.8   4.1   2.3   5.3   0.5
2022   0.2   3.6   3.5   2.7   2.4   2.6   4.5   3.0   3.0   3.7   3.1   4.2
2023   3.3   1.6   0.4   0.6  -1.0   0.8   0.3  -0.6   0.1  -1.5  -1.1   0.3
2024   1.4   0.2   2.3   2.8   1.2   1.4   1.7   2.4   1.2   2.1   3.8   5.3
2025   4.2   3.3   5.8   3.0   2.5   1.3   2.2   2.2   2.4   3.7   1.7   2.9
2026  -1.8   1.3-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9
2027-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9
2028-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9
    850 MB TRADE WIND INDEX(135E-180W)5N 5S  WEST PACIFIC                       
                    STANDARDIZED    DATA                                        
                                                                                
YEAR   JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC    
1979  -1.4  -0.4   0.1  -0.2   0.0   0.4  -0.4  -0.2   0.1  -1.1   0.2  -1.1
1980  -0.6  -0.1  -1.8  -1.6  -1.4  -1.3  -0.9  -0.6  -0.7  -0.3  -0.5   0.1
1981  -0.3  -1.3  -1.0  -1.5   0.5  -0.5   0.1   0.5   0.2   0.2   0.8  -0.8
1982  -0.0  -0.6  -1.3  -0.8  -0.9  -1.4  -2.1  -2.5  -2.2  -1.8  -2.3   0.3
1983  -0.7  -0.1  -0.5  -0.1  -0.3  -0.4   0.1   0.5   0.4   0.3  -0.1   0.5
1984   1.3   1.8   1.3   1.7   1.3   0.1   0.3   0.0   0.4  -0.2  -0.3  -0.4
1985  -1.1   0.6  -1.4   0.3   0.2  -0.3   0.0   0.6   0.3   0.1  -0.5  -0.3
1986   0.1  -0.6   1.1  -0.7  -1.2  -0.1  -0.5  -0.3  -1.0  -0.4  -1.4  -2.3
1987  -0.5  -1.8  -0.9  -1.6  -1.5  -0.6  -1.3  -0.5  -0.6  -0.2  -0.4  -0.8
1988  -0.5  -0.5   1.0  -0.0   0.5   0.1   0.5   1.2   1.5   0.5   1.4   0.4
1989   0.8   0.4   0.9   0.3   0.1  -0.0   0.7   0.6   0.7   0.4  -1.2  -0.7
1990  -1.2  -2.1  -2.0  -0.6  -0.0  -0.5  -0.4   0.0   0.1   0.5  -1.7  -1.5
1991  -0.4  -0.2  -1.4  -0.7  -0.6  -0.4  -0.6  -0.5  -1.3  -0.4  -2.0  -1.0
1992  -2.0  -0.7  -0.5  -1.0  -0.3  -0.4  -0.4  -0.3  -0.3  -0.1  -1.0  -0.8
1993  -0.6  -2.2  -1.4  -1.7  -0.3  -0.7  -0.3  -0.6   0.1  -0.3   0.5  -0.3
1994  -0.1   0.2   0.3  -0.0  -0.5  -0.2  -0.8  -1.1  -0.9  -0.8  -1.3  -1.9
1995  -0.6  -0.1   0.3  -1.0  -0.5   0.7   0.7   1.1   0.6   0.8   1.2   0.4
1996   0.5   0.6   0.7   1.1   0.1   0.8   0.5   1.0   0.3   0.9   0.5  -0.7
1997  -0.7   0.4  -3.1  -2.0  -1.8  -1.6  -0.7  -2.5  -2.1  -2.5  -0.0  -0.4
1998  -0.1  -0.1  -0.4   0.8   0.8   1.1   1.4   0.8   1.4   1.2   1.3   1.0
1999   2.3   0.7   2.4   1.8   1.2   0.5   0.6   1.0   0.8   1.8   0.9   1.7
2000   0.7   2.2   1.6   1.9   1.1   1.1   0.4   0.3   0.6   0.6   0.8   0.7
2001   1.9   1.5   1.2   1.1   0.1  -0.3   0.1  -0.1   0.3  -0.3   0.1  -1.4
2002   0.1  -0.9  -0.2  -0.2  -0.7   0.1  -1.0  -1.1  -1.8  -2.0  -0.2  -0.4
2003  -0.4   0.1   0.5  -0.2  -0.1  -0.1   0.2   0.1   0.1   0.1  -0.2   0.8
2004  -0.2   0.2  -0.2  -0.7   0.5  -1.1  -0.2  -0.8  -0.1  -1.0  -0.4  -0.0
2005  -0.4  -1.7   0.0  -0.4   0.2   0.7   0.3  -0.1  -0.1   0.7   0.6   1.6
2006   1.0   0.6   0.4   0.8  -0.3   0.1  -0.9  -0.9  -0.5  -1.2  -0.4   0.8
2007  -0.1   0.3   0.3   0.7   0.1   1.2   0.6   0.6   0.6   0.8   0.5   2.5
2008   0.4   1.8   1.9   1.4   0.7   1.1   1.3   1.4   0.8   1.6   2.3   1.4
2009   1.2   2.1   0.3   0.7   0.2  -0.2  -0.3  -0.2  -0.7  -0.9   0.4  -0.3
2010  -0.4  -0.6   0.1   0.6   1.4   1.2   1.7   1.8   2.1   1.6   2.0   2.1
2011   1.1   0.9   1.6   1.5   0.6   0.9   0.8   0.8   1.5   0.9   1.1   2.3
2012   1.0   1.7   1.2   0.5   0.5   0.4   0.8   0.6  -0.3   0.6   0.8   1.1
2013  -0.1   1.1   0.4   1.5   1.3   0.5   0.6   0.5   0.3  -0.1   1.3   1.6
2014  -0.3  -0.9  -0.6  -0.2   0.3   0.2   0.1   0.1   0.1   0.1   0.8   0.9
2015  -0.2  -0.4  -1.8  -0.6  -1.2  -0.6  -1.5  -1.1  -1.3  -1.1   0.0  -0.1
2016  -0.4   0.1   0.1   0.2   0.7   0.0   0.3   0.1   0.8   0.7   0.8   0.7
2017   0.7   0.6   1.5   0.3   1.0   0.4   0.9   0.8   1.2   0.6   0.8   0.5
2018   1.4  -1.2  -0.8  -0.3   0.3   0.2   0.4  -0.4  -1.1  -0.2  -0.2   0.2
2019  -1.0  -1.6  -0.2   0.7  -1.3   0.5  -0.4  -0.3  -0.7   0.3  -0.5  -0.5
2020  -1.2  -1.0   0.4   0.4   0.8   0.5   1.1   0.5   1.1   1.0   1.7   1.8
2021   2.1   0.4   1.3  -0.1   0.9   0.6   1.0   0.8   1.7   1.0   2.2   0.2
2022   0.1   1.5   1.5   1.1   1.0   1.1   1.9   1.3   1.3   1.6   1.3   1.8
2023   1.4   0.7   0.2   0.3  -0.4   0.4   0.1  -0.3   0.1  -0.6  -0.5   0.1
2024   0.6   0.1   1.0   1.2   0.5   0.6   0.7   1.0   0.5   0.9   1.6   2.2
2025   1.8   1.4   2.4   1.3   1.0   0.6   0.9   0.9   1.0   1.6   0.7   1.2
2026  -0.8   0.6-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9
2027-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9
2028-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9
